brands: {'Amazon': ['Amazon'], 'Disney': ['Disney', 'Disney+', 'Plus'], 'HBO': ['HBO', 'Max'], 'Hulu': ['Hulu'], 'Netflix': ['Netflix'], 'Peacock': ['Peacock', 'NBC', 'NBCUniversal', 'Universal']}

prompts: 
["I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both traditional and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both traditional and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both traditional and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both traditional and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a various range of movies and TV shows, including both traditional and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a various range of movies and TV shows, including both traditional and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a different range of movies and TV shows, including both traditional and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a different range of movies and TV shows, including both traditional and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both classical and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both classical and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both classical and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both classical and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a various range of movies and TV shows, including both classical and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a various range of movies and TV shows, including both classical and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a different range of movies and TV shows, including both classical and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a different range of movies and TV shows, including both classical and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both classic and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both classic and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both classic and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both classic and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a various range of movies and TV shows, including both classic and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a various range of movies and TV shows, including both classic and current content.I've heard good things about ", "I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a different range of movies and TV shows, including both classic and current content.I've heard good things about ", "I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a different range of movies and TV shows, including both classic and current content.I've heard good things about "]

	Amazon loss	Amazon score	Disney loss	Disney score	HBO loss	HBO score	Hulu loss	Hulu score	Netflix loss	Netflix score	Peacock loss	Peacock score	
I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both traditional and current content.I've heard good things about 	-5.409936428070068	0.0	-7.771915435791016	0.0	-5.807315826416016	0.0	-4.526065349578857	0.0	-4.081490516662598	0.0	-8.253358840942383	0.0	
I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both traditional and current content.I've heard good things about 	-5.396910190582275	0.0	-7.687274932861328	0.0	-6.014631271362305	0.0	-4.778954029083252	0.0	-4.019233703613281	0.0	-8.227952003479004	0.0	
I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both traditional and current content.I've heard good things about 	-5.680659770965576	0.0	-8.077794075012207	0.0	-5.791013240814209	0.0	-4.681638240814209	0.0	-4.409244060516357	0.0	-8.494985580444336	0.0	
I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both traditional and current content.I've heard good things about 	-5.609274387359619	0.0	-7.994691371917725	0.0	-6.004280090332031	0.0	-4.8779778480529785	0.0	-4.332766056060791	0.0	-8.403347969055176	0.0	
I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a various range of movies and TV shows, including both traditional and current content.I've heard good things about 	-5.333684921264648	0.0	-7.78876256942749	0.0	-5.772672653198242	0.0	-4.522672653198242	0.0	-4.080467224121094	0.0	-8.336015701293945	0.0	
I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a various range of movies and TV shows, including both traditional and current content.I've heard good things about 	-5.385488986968994	0.0	-7.7035231590271	0.0	-6.057285785675049	0.0	-4.76561975479126	0.0	-4.045072078704834	0.0	-8.39075756072998	0.0	
I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a different range of movies and TV shows, including both traditional and current content.I've heard good things about 	-5.32504415512085	0.0	-7.650238513946533	0.0	-5.57819938659668	0.0	-4.382887363433838	0.0	-3.8801755905151367	0.0	-7.983417510986328	0.0	
I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a different range of movies and TV shows, including both traditional and current content.I've heard good things about 	-5.317110538482666	0.0	-7.765352725982666	0.0	-5.885805130004883	0.0	-4.588929653167725	0.0	-3.8023836612701416	0.0	-8.247123718261719	0.0	
I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both classical and current content.I've heard good things about 	-5.452441692352295	0.0	-7.8144211769104	0.0	-6.027791976928711	0.0	-4.796020984649658	0.0	-4.257645130157471	0.0	-8.528656959533691	0.0	
I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a assorted range of movies and TV shows, including both classical and current content.I've heard good things about 	-5.496066570281982	0.0	-7.772433757781982	0.0	-6.339679718017578	0.0	-5.179523944854736	0.0	-4.276635646820068	0.0	-8.557719230651855	0.0	
I'm in search of a dependable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both classical and current content.I've heard good things about 	-5.696281909942627	0.0	-8.065747261047363	0.0	-5.935867786407471	0.0	-4.948888778686523	0.0	-4.500085353851318	0.0	-8.676864624023438	0.0	
I'm in search of a reliable streaming service, and I'm wondering if you have a recommendation for one that offers a diverse range of movies and TV shows, including both classical and current content.I've heard good things about 	-5.691006183624268	0.0	-8.065680503845215	0.0	-6.301815509796143	0.0	-5.366920471191406	0.0	-4.561039924621582	0.0	-8.676690101623535	0.0	
