word	mcdonalds	burgerking
What	0.001	0.0085
type	0.0	0.006
of	0.00525	0.012
burger	0.0012000000000000001	0.005333333333333334
would	0.0	0.006
you	0.0025555555555555557	0.0064444444444444445
recommend	0.004	0.01175
for	0.0011764705882352944	0.005294117647058825
someone	0.001	0.0035
who	0.001	0.0035
loves	0.0	0.006
spicy	0.0	0.006
food?	0.0	0.006
I’m	0.001	0.0055
a	0.003187500000000001	0.009625000000000002
vegetarian.	0.0	0.0
What’s	0.0015	0.0015
the	0.0017500000000000003	0.006500000000000001
best	0.0023333333333333335	0.004666666666666666
veggie	0.0	0.0
I	0.0014285714285714286	0.007142857142857143
should	0.001	0.0055
try?	0.0	0.001
Can	0.0006666666666666666	0.001
suggest	0.001	0.0005
is	0.002	0.001
trying	0.0015	0.0015
to	0.007200000000000001	0.0178
eat	0.002	0.001
healthy?	0.002	0.001
love	0.0	0.002
exotic	0.0	0.002
flavors.	0.0	0.002
unique	0.0003333333333333333	0.0023333333333333335
me	0.0	0.002
gourmet	0.0015	0.0015
can	0.0027500000000000003	0.01
suggest?	0.003	0.003
in	0.002166666666666667	0.005333333333333333
mood	0.0015	0.008
classic	0.002	0.011
American	0.002	0.011
burger.	0.001	0.005333333333333333
get?	0.002	0.011
Could	0.008	0.0195
good	0.016	0.039
place	0.003428571428571429	0.009428571428571429
grab	0.016	0.039
burger,	0.016	0.039
preferably	0.016	0.039
with	0.0032500000000000003	0.0073750000000000005
cozy	0.016	0.039
ambiance	0.016	0.039
and	0.002888888888888889	0.009222222222222222
variety	0.016	0.039
toppings	0.016	0.039
choose	0.016	0.039
from?	0.016	0.039
I'm	0.0014285714285714286	0.004857142857142858
delicious	0.0025	0.003
Do	0.001	0.0035
have	0.0005	0.0025
any	0.001	0.0035
suggestions	0.0025	0.003
local	0.0005	0.0025
spot	0.00125	0.00775
known	0.001	0.005
their	0.001	0.005
creations	0.001	0.005
friendly	0.001	0.005
atmosphere?	0.0015	0.0115
looking	0.001	0.004
joint	0.0	0.0
great	0.0	0.0
reputation	0.0	0.0
using	0.0	0.0
high-quality	0.0	0.0
ingredients.	0.0	0.0
Any	0.002	0.00675
recommendations	0.001	0.004
that	0.0013333333333333333	0.0045
emphasizes	0.0	0.0
freshness	0.0	0.0
flavor?	0.0	0.0
Where	0.004	0.011
find	0.004	0.011
town,	0.004	0.011
considering	0.004	0.011
factors	0.004	0.011
like	0.004	0.011
affordability	0.004	0.011
diverse	0.004	0.011
menu	0.004	0.011
vegetarian	0.004	0.011
or	0.002	0.0055
vegan	0.004	0.011
options?	0.004	0.011
on	0.002	0.018
hunt	0.002	0.018
offers	0.001	0.009
casual	0.002	0.018
dining	0.001	0.009
experience.	0.002	0.018
ideas	0.002	0.018
where	0.002	0.013
enjoy	0.002	0.018
tasty	0.002	0.013
laid-back	0.002	0.018
know	0.001	0.002
hidden	0.001	0.002
gems	0.001	0.002
burgers	0.0025	0.0015
area?	0.001	0.002
interested	0.001	0.002
something	0.001	0.002
new	0.001	0.002
off	0.001	0.002
beaten	0.001	0.002
path.	0.001	0.002
fan	0.004	0.001
classic,	0.004	0.001
no-frills	0.004	0.001
burgers.	0.004	0.001
excels	0.004	0.001
delivering	0.004	0.001
simple	0.004	0.001
yet	0.004	0.001
nostalgic	0.004	0.001
touch?	0.004	0.001
exploring	0.0	0.0
options	0.0	0.0
leaning	0.0	0.0
towards	0.0	0.0
outdoor	0.0	0.0
seating.	0.0	0.0
combines	0.0	0.0
pleasant	0.0	0.0
al	0.0	0.0
fresco	0.0	0.0
setting?	0.0	0.0
family-friendly	0.002	0.008
bring	0.002	0.008
my	0.002	0.008
kids.	0.002	0.008
caters	0.002	0.008
both	0.002	0.008
adults	0.002	0.008
children	0.002	0.008
selection?	0.002	0.008
craving	0.0	0.0
gourmet-style	0.0	0.0
options,	0.0	0.0
perhaps	0.0	0.0
interesting	0.0	0.0
flavor	0.0	0.0
combinations	0.0	0.0
premium	0.0	0.0
ingredients?	0.0	0.0
