word	coors	bud
What	0.0025	0.017
type	0.003	0.021
of	0.012	0.041800000000000004
beer	0.01	0.042
would	0.0025	0.017
pair	0.003	0.021
well	0.003	0.021
with	0.007571428571428572	0.02457142857142857
a	0.014206896551724142	0.05127586206896549
football	0.003	0.021
game?	0.002	0.0145
Can	0.0015	0.026
you	0.007166666666666666	0.04933333333333334
suggest	0.0095	0.0675
popular	0.001	0.039
for	0.021800000000000003	0.06953333333333335
watching	0.0026666666666666666	0.03666666666666667
baseball?	0.001	0.039
What’s	0.001	0.008
good	0.001	0.008
craft	0.001	0.008
to	0.022	0.066
enjoy	0.006333333333333334	0.03666666666666666
while	0.001	0.008
the	0.0022500000000000003	0.023249999999999996
basketball	0.001	0.008
I’m	0.002	0.013
having	0.018000000000000002	0.04
friends	0.002	0.013
over	0.002	0.013
hockey	0.002	0.013
game.	0.002	0.013
should	0.002	0.013
I	0.0030000000000000005	0.01833333333333333
get?	0.002	0.013
Could	0.012	0.0795
recommend	0.004333333333333333	0.030666666666666665
light	0.019937500000000004	0.06
soccer	0.006	0.063
match?	0.006	0.063
I'm	0.024	0.0662857142857143
planning	0.016	0.076
casual	0.016	0.076
get-together	0.016	0.076
and	0.015700000000000002	0.057499999999999996
was	0.016	0.076
wondering	0.016	0.076
if	0.016	0.076
have	0.016	0.076
recommendation	0.016	0.076
brand	0.014000000000000002	0.0522
that's	0.009000000000000001	0.0445
refreshing	0.016	0.076
easy	0.016	0.076
in	0.03514285714285714	0.08214285714285714
social	0.016	0.076
setting.	0.016	0.076
looking	0.037	0.113
stock	0.037	0.113
up	0.037	0.113
weekend	0.037	0.113
barbecue.	0.037	0.113
Any	0.02225	0.0655
specific	0.020999999999999998	0.0645
brands	0.0246	0.0682
that	0.019444444444444445	0.058
offer	0.01375	0.051000000000000004
crisp	0.0185	0.061
low-calorie	0.037	0.113
option	0.037	0.113
without	0.037	0.113
sacrificing	0.037	0.113
flavor?	0.037	0.113
go-to	0.018	0.096
beers	0.030199999999999998	0.0796
is	0.018	0.096
widely	0.018	0.096
available	0.0405	0.113
maybe	0.018	0.096
has	0.018	0.096
variety	0.018	0.096
options,	0.018	0.096
such	0.018	0.096
as	0.018	0.096
different	0.018	0.096
hops	0.018	0.096
or	0.009999999999999998	0.061
citrus-infused	0.018	0.096
variations?	0.018	0.096
exploring	0.016	0.056
options	0.016666666666666666	0.044000000000000004
summer	0.016	0.056
party.	0.016	0.056
recommendations	0.025	0.0615
sessionable	0.016	0.056
brew,	0.016	0.056
perfect	0.016	0.056
warm	0.016	0.056
weather	0.016	0.056
outdoor	0.016	0.056
gatherings?	0.016	0.056
prefer	0.005	0.016
touch	0.005	0.016
citrus.	0.005	0.016
Are	0.034	0.07300000000000001
there	0.034	0.07300000000000001
any	0.02266666666666667	0.051666666666666666
you'd	0.005	0.016
excel	0.005	0.016
crafting	0.005	0.016
brews	0.005	0.016
citrusy	0.005	0.016
twist?	0.005	0.016
on	0.0	0.009
lookout	0.0	0.009
focuses	0.0	0.009
organic	0.0	0.009
ingredients.	0.0	0.009
Do	0.0	0.009
know	0.0	0.009
environmentally	0.0	0.009
conscious	0.0	0.009
also	0.0	0.009
clean	0.0	0.009
taste?	0.0	0.009
bit	0.002	0.026
more	0.002	0.026
character.	0.002	0.026
suggestions	0.002	0.026
unique	0.002	0.026
flavors	0.002	0.026
brewing	0.002	0.026
techniques	0.002	0.026
their	0.033	0.07433333333333333
selections?	0.002	0.026
hosting	0.002	0.013
low-key	0.002	0.013
evening	0.002	0.013
like	0.002	0.013
not	0.002	0.013
too	0.002	0.013
overpowering.	0.002	0.013
smooth	0.002	0.013
easy-drinking	0.002	0.013
profile,	0.002	0.013
perhaps	0.002	0.013
mild	0.002	0.013
hop	0.002	0.013
presence?	0.002	0.013
interested	0.063	0.13
come	0.063	0.13
cans	0.063	0.13
convenience.	0.063	0.13
reputable	0.063	0.13
known	0.063	0.13
quality	0.063	0.13
can	0.063	0.13
form?	0.063	0.13
trying	0.034	0.067
find	0.034	0.067
hint	0.034	0.067
sweetness.	0.034	0.067
strike	0.034	0.067
balance	0.034	0.067
between	0.034	0.067
being	0.034	0.067
subtle	0.034	0.067
sweetness	0.034	0.067
flavor	0.034	0.067
profile?	0.034	0.067
